STF_ID,uM,%Pos  W2/Med,%Inh Cells/High,CanonicalSmiles,Selectivity,target
STF-006751,1.7955864944240147,122.0,55.0,CC1(C(N2C(S1)C(C2=O)NC(=O)C3=C(C=CC=C3OC)OC)C(=O)O)C,0.2,0
STF-001784,-0.7674335242015328,105.6,7.7,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,0.13385826771653545,0
STF-007249,-0.7674335242015328,92.1,9.3,C1=CC=C(C=C1)C=CC(=O)C2=CC=C(C=C2)O,0.1717171717171717,0
STF-001050,-0.9506947292370014,99.3,-26.8,C(=NN)(N)N.C(=NN)(N)N.OS(=O)(=O)O,0.0,0
STF-001737,-0.7674335242015328,150.2,10.4,C1=NC(=C(N1C2C(C(C(O2)CO)O)O)O)C(=O)N,0.003926701570680628,1
STF-006760,-0.4009111141305953,144.8,-11.1,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C,0.0963855421686747,1
STF-001677,1.7955864944240147,102.0,12.1,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)N4CCOCC4,0.06701030927835051,0
STF-001483,-0.9506947292370014,100.2,-12.1,CC1=CC(=C2C(=C1)C(=O)C3=CC(=CC(=C3C2=O)O)O)O,0.1989247311827957,0
STF-001960,-0.9506947292370014,88.7,-10.9,CC1=CC=CC(=C1)C(=O)NCN2CCN(CC2)C3=CC=CC=C3C#N,0.11855670103092784,0
STF-002414,-0.4009111141305953,84.4,-8.4,CC1CC(=O)C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O,0.035897435897435895,0
STF-006785,-0.4009111141305953,101.6,2.1,C1=CC=C(C(=C1)C(=O)O)O,0.03125,0
STF-007693,0.3308152800757723,66.5,13.8,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)OC,0.020408163265306117,-1
STF-004855,0.3308152800757723,132.2,6.1,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)F)C,0.008080808080808079,1
STF-007438,-0.7674335242015328,152.7,-1.1,CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=C(C(=C3O)O)OC4C(C(C(C(O4)CO)O)O)O)O,0.0,1
STF-007186,0.3308152800757723,110.7,20.6,CC1C(=O)CCC2C1(CCC3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C)C)C)C)C)C,0.0,0
STF-007346,-0.7674335242015328,112.1,2.0,CCCCCC(=O)CC1=CC(=CC(=C1C(=O)OC2=CC(=C(C(=C2)CC(=O)CCCCC)C(=O)O)OC)O)O,0.013888888888888888,0
STF-001716,1.7955864944240147,141.6,6.5,CN(C)CCC1=CNC2=C1C=C(C=C2)OC,0.07314285714285715,1
STF-001827,1.7955864944240147,105.3,-6.5,C1=CC(=CC=C1CSC2=NC=NC3=C2N=CN3C4C(C(C(O4)CO)O)O)[N+](=O)[O-],0.0,0
STF-007861,-0.7674335242015328,142.3,14.1,CCC(=O)C1=C(C=C(C=C1O)O)O,0.007299270072992701,1
STF-001193,-0.4009111141305953,107.5,-18.0,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,0.11347517730496455,0
STF-007882,-0.4009111141305953,70.4,1.4,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCOC(=O)C)C)C,0.075,0
STF-006910,1.7955864944240147,33.4,27.1,C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1,0.12942989214175654,-1
STF-006703,-0.7674335242015328,90.7,-10.5,CC(=O)OCC(=O)C1(CCC2C1(CC(C3(C2CCC4=CC(=O)CCC43C)F)O)C)O,0.0,0
STF-007747,1.7955864944240147,97.5,-1.5,CC(C)CC(C(=O)O)NC(=O)OCC1C2=CC=CC=C2C3=CC=CC=C13,0.02479338842975207,0
STF-001841,-0.9506947292370014,97.0,-15.6,CC1=CC=C(C=C1)C(=O)OC(C(C(=O)O)OC(=O)C2=CC=C(C=C2)C)C(=O)O.CN1CCCC1C2=CN=CC=C2,0.0,0
STF-007867,0.3308152800757723,138.8,18.8,C1=CC=C(C=C1)C(=O)NCCC(=O)O,0.006355932203389831,1
STF-007186,1.7955864944240147,102.1,8.5,CC1C(=O)CCC2C1(CCC3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C)C)C)C)C)C,0.0,0
STF-007348,0.3308152800757723,120.2,37.4,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3O)OC,0.012345679012345678,0
STF-006677,1.7955864944240147,44.4,42.2,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,0.04166666666666666,-1
STF-002179,0.3308152800757723,146.3,-18.0,C1=C(C=C(C(=C1O)O)O)C=C(C#N)C#N,0.20560747663551399,1
STF-001365,-0.9506947292370014,103.3,9.6,COC1=CC(=CC(=C1OC)OC)C(=O)OCCCN2CCCN(CC2)CCCOC(=O)C3=CC(=C(C(=C3)OC)OC)OC,0.07586206896551724,0
STF-006561,0.3308152800757723,132.1,-15.6,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,0.0047619047619047615,1
STF-001514,-0.4009111141305953,68.1,5.8,CCC1(CC2=CC=CC=C2O1)C3=NCCN3,0.09009009009009007,-1
STF-006443,-0.4009111141305953,94.7,2.7,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,0.011542497376705142,0
STF-006564,0.3308152800757723,99.4,-10.2,CC12CCC(=O)C=C1C=CC3C2CCC4(C3CCC45CCC(=O)O5)C,0.0078125,0
STF-006459,1.7955864944240147,29.3,25.5,CN(C)C1=NC=NC2=C1N=CN2C3C(C(C(O3)CO)NC(=O)C(CC4=CC=C(C=C4)OC)N)O,0.21428571428571427,-1
STF-007666,0.3308152800757723,85.0,7.1,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,0.054704595185995616,0
STF-006568,-0.4009111141305953,107.3,2.1,CC(=O)OCC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,0.04651162790697674,0
STF-006554,-0.9506947292370014,127.6,-12.4,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6,0.1188118811881188,0
STF-001150,1.7955864944240147,71.7,-9.4,C1CC(=CBr)OC(=O)C1C2=CC=CC3=CC=CC=C32,0.17532467532467533,0
STF-007885,-0.4009111141305953,126.0,7.2,C1CSSC1CCCCC(=O)N,0.014084507042253518,0
STF-007139,-0.7674335242015328,37.8,21.9,CC1(C2CC(C3(C(C2(C=CC1=O)C)CCC4(C35C(O5)C(=O)OC4C6=COC=C6)C)C)O)C,0.0,-1
STF-001446,1.7955864944240147,99.2,19.2,CCCCCCCCCCCCCCCC(C(CO)N)O,0.034188034188034185,0
