STF_ID,uM,%Pos  W2/Med,%Inh Cells/High,CanonicalSmiles,Selectivity,target
STF-001089,5.56,96.5,11.5,C1C(NC1C(=O)O)C(=O)O,0.0064516129032258064,0
STF-001089,11.11,95.6,8.5,C1C(NC1C(=O)O)C(=O)O,0.0064516129032258064,0
STF-001089,22.22,104.6,4.9,C1C(NC1C(=O)O)C(=O)O,0.0064516129032258064,0
STF-001090,1.39,102.5,-16.1,CC(=NO)C(=O)C,0.05,0
STF-001090,2.78,106.8,1.8,CC(=NO)C(=O)C,0.05,0
STF-001090,5.56,139.9,18.0,CC(=NO)C(=O)C,0.05,1
STF-001090,11.11,99.7,4.9,CC(=NO)C(=O)C,0.05,0
STF-001090,22.22,102.2,7.9,CC(=NO)C(=O)C,0.05,0
STF-001161,1.39,156.8,0.4,C1=CC2=C(NN=C2C(=C1)[N+](=O)[O-])Br,0.044534412955465584,1
STF-001161,2.78,140.0,6.6,C1=CC2=C(NN=C2C(=C1)[N+](=O)[O-])Br,0.044534412955465584,1
STF-001161,5.56,101.7,-18.0,C1=CC2=C(NN=C2C(=C1)[N+](=O)[O-])Br,0.044534412955465584,0
STF-001161,11.11,109.5,2.2,C1=CC2=C(NN=C2C(=C1)[N+](=O)[O-])Br,0.044534412955465584,0
STF-001161,22.22,121.0,-10.9,C1=CC2=C(NN=C2C(=C1)[N+](=O)[O-])Br,0.044534412955465584,0
STF-001240,1.39,106.3,-9.9,C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5,0.19607843137254902,0
STF-001240,2.78,97.6,-4.2,C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5,0.19607843137254902,0
STF-001240,5.56,78.0,-36.4,C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5,0.19607843137254902,0
STF-001240,11.11,44.3,9.4,C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5,0.19607843137254902,-1
STF-001240,22.22,2.8,50.8,C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5,0.19607843137254902,-1
STF-001241,1.39,99.9,-14.3,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,0.09602649006622517,0
STF-001241,2.78,103.5,-2.7,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,0.09602649006622517,0
STF-001241,5.56,96.7,-24.4,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,0.09602649006622517,0
STF-001241,11.11,99.2,-19.3,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,0.09602649006622517,0
STF-001241,22.22,87.6,9.4,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,0.09602649006622517,0
STF-001242,1.39,113.4,-14.3,C[N+](C)(C)CCOC(=O)N,0.005376344086021506,0
STF-001242,2.78,129.8,7.2,C[N+](C)(C)CCOC(=O)N,0.005376344086021506,0
STF-001242,5.56,100.8,-1.4,C[N+](C)(C)CCOC(=O)N,0.005376344086021506,0
STF-001242,11.11,108.4,-18.4,C[N+](C)(C)CCOC(=O)N,0.005376344086021506,0
STF-001242,22.22,123.4,-7.1,C[N+](C)(C)CCOC(=O)N,0.005376344086021506,0
STF-001164,1.39,81.7,7.3,CC1CCCC=CC2CC(CC2(CC=CC(=O)O1)O)O,0.1366906474820144,0
STF-001164,2.78,96.5,0.9,CC1CCCC=CC2CC(CC2(CC=CC(=O)O1)O)O,0.1366906474820144,0
STF-001164,5.56,67.8,-9.7,CC1CCCC=CC2CC(CC2(CC=CC(=O)O1)O)O,0.1366906474820144,-1
STF-001164,11.11,53.9,-6.7,CC1CCCC=CC2CC(CC2(CC=CC(=O)O1)O)O,0.1366906474820144,-1
STF-001164,22.22,40.7,20.7,CC1CCCC=CC2CC(CC2(CC=CC(=O)O1)O)O,0.1366906474820144,-1
STF-001165,1.39,124.8,-6.6,COC1=CC=CC=C1N2CCN(CC2)CCCCNC(=O)C3=CC4=CC=CC=C4C=C3,0.26490066225165565,0
STF-001165,2.78,116.2,-16.5,COC1=CC=CC=C1N2CCN(CC2)CCCCNC(=O)C3=CC4=CC=CC=C4C=C3,0.26490066225165565,0
STF-001165,5.56,77.1,-28.1,COC1=CC=CC=C1N2CCN(CC2)CCCCNC(=O)C3=CC4=CC=CC=C4C=C3,0.26490066225165565,0
STF-001165,11.11,108.2,-10.3,COC1=CC=CC=C1N2CCN(CC2)CCCCNC(=O)C3=CC4=CC=CC=C4C=C3,0.26490066225165565,0
STF-001165,22.22,111.8,2.6,COC1=CC=CC=C1N2CCN(CC2)CCCCNC(=O)C3=CC4=CC=CC=C4C=C3,0.26490066225165565,0
STF-001244,1.39,92.1,-26.1,C1CN(CCN1)C2=CC(=CC=C2)Cl,0.2927927927927928,0
STF-001244,2.78,109.1,-10.8,C1CN(CCN1)C2=CC(=CC=C2)Cl,0.2927927927927928,0
STF-001244,5.56,119.1,-5.1,C1CN(CCN1)C2=CC(=CC=C2)Cl,0.2927927927927928,0
STF-001244,11.11,135.6,2.2,C1CN(CCN1)C2=CC(=CC=C2)Cl,0.2927927927927928,1
STF-001244,22.22,102.5,-1.9,C1CN(CCN1)C2=CC(=CC=C2)Cl,0.2927927927927928,0
STF-001167,1.39,102.8,-19.4,C1CN=C(N1)C2=NC3=CC=CC=C3C=C2,0.027777777777777776,0
STF-001167,2.78,126.0,-11.4,C1CN=C(N1)C2=NC3=CC=CC=C3C=C2,0.027777777777777776,0
